BNS Sections,IPC Sections,IPC Description
1,1,1.Title and extent of operation of the Code.
1(2),New,New Sub-Section
1(3),2,2.Punishment of offences committed within India.
1(4),3,"3. Punishment  of  offences  committed  beyond,  but which by law may be tried within, India."
1(5),4,4.Extension of Code to extra-territorial offences.
1(6),5,5.Certain laws not to be affected by this Act.
2,33,33.“Act”.“Omission”
2(2),47,47.“Animal”.
2(3),New,New Sub-Section
2(4),28,28.“Counterfeit”.
2(5),20,20.“Court of Justice”.
2(6),46,46.“Death”.
2(7),24,24.“Dishonestly”.
2(8),29,29.“Document”.
Deleted,29A,29A.“Electronic record”.
2(9),25,25.“Fraudulently”
2(10),8,8.Gender.
2(11),52,52.“Good faith”
2(12),17,17.“Government”.
Deleted,18,18.“India”.
2(13),52A,52A.“Harbour“.
2(14),44,44.“Injury”.
2(15),43,43.“Illegal”.“Legally bound to do”.
2(16),19,19.“Judge”.
2(17),45,45.“Life”.
2(18),42,42.“Local law”.
2(19),10,10.“Man”.“Woman”.
2(20),49,49.“Year”.“Month”.
2(21),22,22.“Movable property”
2(22),9,9.Number.
2(23),51,51.“Oath”.
2(24),40,40.“Offence”.
2(25),33,33.“Act”.“Omission”
2(26),11,11.“Person”.
2(27),12,12.“Public”.
Deleted,14-,14- “Servant of Government”.
2(28),21,21.“Public servant”.
2(29),26,26.“Reason to believe”
Deleted,50,50.“Section”.
2(30),41,41.“Special law”.
2(31),30,30.“Valuable security”.
2(32),48,48.“Vessel”.
2(33),39,39.“Voluntarily”.
2(34),31,31.“A will”.
2(35),10,10.“Man”.“Woman”.
2(36),23,23.“Wrongful gain”.
2(37),23,23.“Wrongful loss”.
2(38),23,23.“gaining wrongfully’ and ‘losing wrongfully”.
2(39),New,New Sub-Section
3,6,"6. Definitions  in  the  Code  to  be  understood  subject
to exceptions."
3(2),7,7.Sense of expression once explained.
3(3),27,"27.Property in possession of wife, clerk or servant."
3(4),32,32.Words referring to acts include illegal omissions.
3(5),34,"34. Acts  done  by  several  persons  in  furtherance  of
common intention."
3(6),35,35. When  such  an  act  is  criminal  by  reason  of  its being done with a criminal knowledge or intention.
